threemonth,sixmonth,tenmonth,now_em_grate,now_male,now_female,new_grate,new_male,new_female,leave_grate,leave_male,leave_female,avg_ot_male,avg_ot_female
,,2,2.27,5478,2408,2.16,67,31,0.96,0.64%,0.67%,7.25,3.81
,,3,2.29,5537,2417,2.49,169,68,0.82,2.00%,2.45%,12.54,6.13
,,4,2.28,5556,2441,1.67,122,73,0.92,1.86%,2.02%,14.7,7.54
,,5,2.29,5608,2444,2.45,137,56,0.7,1.52%,2.17%,11.78,6.31
,6,6,2.29,5679,2483,1.85,148,80,0.82,1.36%,1.66%,13.95,7.64
,7,7,2.28,5702,2500,1.82,109,60,0.88,1.51%,1.73%,14.11,7.73
,8,8,2.27,5768,2546,1.68,165,98,0.84,1.73%,2.06%,12.63,6.23
9,9,9,2.24,5821,2597,1.38,120,87,0.83,1.16%,1.40%,10.14,5.23
10,10,10,2.25,5887,2620,2.05,166,81,0.77,1.71%,2.22%,11.17,5.68
11,11,11,2.23,5932,2666,1.5,132,88,0.93,1.47%,1.59%,13.16,6.83
