threemonth,sixmonth,tenmonth,now_em,now_leave,now_leave_rate,pre_leave,pre_leave_rate,now_proj,pre_nonproj,avg_ot,fake_leave,baby_vac
,,2,7937,63,1.59%,88,2.25%,5154,5271,6.2,2,2
,,3,8123,181,2.27%,63,0.80%,5275,5372,10.58,7,6
,,4,8149,164,2.05%,181,2.29%,5282,5444,12.52,5,3
,,5,8190,152,1.88%,164,2.06%,5295,4500,10.11,7,5
,6,6,8280,134,1.65%,152,1.90%,5373,5366,12.03,3,3
,7,7,8331,147,1.80%,134,1.66%,5383,4396,12.17,9,8
,8,8,8465,168,2.02%,147,1.80%,5422,4893,10.66,8,7
9,9,9,8521,114,1.36%,168,2.04%,5490,5571,8.62,2,2
10,10,10,8665,163,1.92%,114,1.36%,5566,5683,9.47,3,3
11,11,11,8727,129,1.51%,163,1.93%,5606,5402,11.19,3,3
